YOLOv8n Metrics
04-16-2026 17:16:59 RAM 4447/7607MB (lfb 68x4MB) SWAP 72/3804MB (cached 0MB) CPU [2%@729,2%@729,0%@729,4%@729,100%@1728,1%@1728] GR3D_FREQ 0% cpu@48.406C soc2@46.062C soc0@46.718C gpu@47.812C tj@48.406C soc1@46.156C VDD_IN 5254mW/5318mW VDD_CPU_GPU_CV 1589mW/1630mW VDD_SOC 1433mW/1434mW
04-16-2026 17:17:00 RAM 4488/7607MB (lfb 68x4MB) SWAP 72/3804MB (cached 0MB) CPU [0%@729,3%@729,2%@729,2%@729,97%@1728,0%@1728] GR3D_FREQ 0% cpu@48C soc2@46.093C soc0@46.625C gpu@47.843C tj@48C soc1@46.25C VDD_IN 5254mW/5297mW VDD_CPU_GPU_CV 1550mW/1603mW VDD_SOC 1433mW/1434mW
04-16-2026 17:17:01 RAM 4521/7607MB (lfb 68x4MB) SWAP 72/3804MB (cached 0MB) CPU [8%@729,7%@729,5%@729,10%@729,100%@1728,4%@1728] GR3D_FREQ 0% cpu@48.156C soc2@46.093C soc0@46.625C gpu@47.968C tj@48.156C soc1@46.312C VDD_IN 5374mW/5316mW VDD_CPU_GPU_CV 1669mW/1620mW VDD_SOC 1433mW/1434mW
04-16-2026 17:17:02 RAM 4620/7607MB (lfb 68x4MB) SWAP 72/3804MB (cached 0MB) CPU [26%@1728,25%@1728,61%@1728,24%@1728,48%@729,28%@729] GR3D_FREQ 12% cpu@48.531C soc2@46.25C soc0@46.687C gpu@47.812C tj@48.531C soc1@46.312C VDD_IN 5980mW/5449mW VDD_CPU_GPU_CV 2109mW/1718mW VDD_SOC 1475mW/1442mW
04-16-2026 17:17:03 RAM 5337/7607MB (lfb 19x1MB) SWAP 72/3804MB (cached 0MB) CPU [60%@1728,61%@1728,94%@1728,61%@1728,63%@729,59%@729] GR3D_FREQ 12% cpu@48.312C soc2@46.531C soc0@47.031C gpu@47.906C tj@48.312C soc1@46.375C VDD_IN 6698mW/5657mW VDD_CPU_GPU_CV 2507mW/1849mW VDD_SOC 1594mW/1467mW
04-16-2026 17:17:04 RAM 5644/7607MB (lfb 1x2MB) SWAP 72/3804MB (cached 0MB) CPU [8%@729,63%@729,27%@729,25%@729,6%@729,20%@729] GR3D_FREQ 13% cpu@48.031C soc2@46.593C soc0@46.968C gpu@48.062C tj@48.062C soc1@46.5C VDD_IN 6610mW/5793mW VDD_CPU_GPU_CV 2280mW/1911mW VDD_SOC 1682mW/1498mW
04-16-2026 17:17:05 RAM 5684/7607MB (lfb 18x1MB) SWAP 72/3804MB (cached 0MB) CPU [31%@883,20%@883,54%@883,15%@883,30%@729,18%@729] GR3D_FREQ 53% cpu@47.75C soc2@46.375C soc0@46.875C gpu@48.375C tj@48.375C soc1@46.687C VDD_IN 5305mW/5732mW VDD_CPU_GPU_CV 1444mW/1852mW VDD_SOC 1487mW/1496mW
04-16-2026 17:17:06 RAM 5718/7607MB (lfb 18x1MB) SWAP 72/3804MB (cached 0MB) CPU [46%@729,45%@729,49%@729,42%@729,34%@729,54%@729] GR3D_FREQ 25% cpu@48.625C soc2@46.781C soc0@47.093C gpu@49.343C tj@49.343C soc1@46.5C VDD_IN 8956mW/6090mW VDD_CPU_GPU_CV 3855mW/2075mW VDD_SOC 1990mW/1551mW
04-16-2026 17:17:07 RAM 5782/7607MB (lfb 21x1MB) SWAP 72/3804MB (cached 0MB) CPU [54%@1728,5%@1728,44%@1728,7%@1728,27%@729,13%@729] GR3D_FREQ 7% cpu@49.031C soc2@47.125C soc0@47.531C gpu@48.906C tj@49.031C soc1@46.718C VDD_IN 9896mW/6471mW VDD_CPU_GPU_CV 4476mW/2315mW VDD_SOC 2265mW/1623mW
04-16-2026 17:17:08 RAM 5797/7607MB (lfb 4x4MB) SWAP 72/3804MB (cached 0MB) CPU [50%@729,5%@729,6%@729,4%@729,5%@729,31%@729] GR3D_FREQ 0% cpu@48.218C soc2@46.781C soc0@47.187C gpu@48.281C tj@48.281C soc1@46.812C VDD_IN 5600mW/6392mW VDD_CPU_GPU_CV 1557mW/2246mW VDD_SOC 1520mW/1613mW
